       0       0.00000000000           0.00000000000    
       1       2.11863356265           2.11863356265    
       2       3.56166043076           3.56166043076    
       3       4.61660274406           4.61660274406    
       4       5.40152762852           5.40152762852    
       5       5.98157180139           5.98157180139    
       6       6.39717577908           6.39717577908    
       7       6.67641712600           6.67641712600    
       8       6.83995412358           6.83995412358    
       9       6.90381893124           6.90381893124    
      10       6.87993870888           6.87993870888    
      11       6.77929598268           6.77929598268    
      12       6.60947559533           6.60947559533    
      13       6.37783643864           6.37783643864    
      14       6.09054811998           6.09054811998    
      15       5.75221292327           5.75221292327    
      16       5.36737715603           5.36737715603    
      17       4.94064189490           4.94064189490    
      18       4.47480532127           4.47480532127    
      19       3.97326224588           3.97326224588    
      20       3.43934247779           3.43934247779    
      21       2.87462005029           2.87462005029    
      22       2.28187761061           2.28187761061    
      23       1.66303031881           1.66303031881    
      24       1.02073241879           1.02073241879    
      25      0.356611506656          0.356611506656    
      26     -0.327624037728         -0.327624037728    
      27      -1.03119672291          -1.03119672291    
      28      -1.75174467974          -1.75174467974    
      29      -2.48799690173          -2.48799690173    
      30      -3.23906566603          -3.23906566603    
      31      -4.00350311117          -4.00350311117    
      32      -4.77998035827          -4.77998035827    
      33      -5.56766590225          -5.56766590225    
      34      -6.36537450557          -6.36537450557    
      35      -7.17219551323          -7.17219551323    
      36      -7.98749047728          -7.98749047728    
      37      -8.80965122515          -8.80965122515    
      38      -9.63786006224          -9.63786006224    
      39      -10.4710801230          -10.4710801230    
      40      -11.3086912039          -11.3086912039    
      41      -12.1498542560          -12.1498542560    
      42      -12.9938272474          -12.9938272474    
      43      -13.8397206856          -13.8397206856    
      44      -14.6865423071          -14.6865423071    
      45      -15.5333954334          -15.5333954334    
      46      -16.3796670151          -16.3796670151    
      47      -17.2247234336          -17.2247234336    
      48      -18.0672442746          -18.0672442746    
      49      -18.9062331269          -18.9062331269    
      50      -19.7419154354          -19.7419154354    
      51      -20.5728440431          -20.5728440431    
      52      -21.3980283335          -21.3980283335    
      53      -22.2175510685          -22.2175510685    
      54      -23.0303460964          -23.0303460964    
      55      -23.8361589288          -23.8361589288    
      56      -24.6339532433          -24.6339532433    
      57      -25.4239932968          -25.4239932968    
      58      -26.2052385429          -26.2052385429    
      59      -26.9774867363          -26.9774867363    
      60      -27.7414626203          -27.7414626203    
